Run,Block Size,Time (s),L1 DCM,L2 DCM
1,128,36.4179,9662805315,32124304495
2,128,35.4081,9675472658,32803931530
3,128,36.334,9631575101,32086685920
4,128,35.4352,9667699853,32601075038
5,128,35.7288,9511652082,32849526362
6,128,35.7519,9655707831,32157923320
7,128,35.4983,9665895091,32577120530
8,128,35.386,9508156690,32876207574
9,128,35.6059,9512030846,32870912070
10,128,35.5678,9508393832,32597564257
1,256,28.8015,9064334654,22928593631
2,256,29.9502,9054479727,23091950606
3,256,29.5476,9060916960,22897847213
4,256,29.177,9068090489,23388741906
5,256,29.3393,9066366651,22893741948
6,256,31.2142,9025716031,23062184428
7,256,31.5522,9026436131,23039914612
8,256,29.4648,9086394141,23285952195
9,256,29.9064,9027090539,23113303692
10,256,31.8353,9031175140,23126711861
1,512,36.358,8797927940,19085589176
2,512,36.544,8796687254,19133664104
3,512,36.5611,8798904432,19138963265
4,512,36.0281,8796979924,19410322718
5,512,35.6785,8795902160,19104444836
6,512,34.8204,8774345411,19328823067
7,512,36.448,8796856597,19315773346
8,512,34.3398,8793650941,19359426437
9,512,33.3274,8794279460,19277617120
10,512,33.2758,8791151384,19565097078
