Run,Time (s),L1 DCM,L2 DCM
1,2.4819,772200322,767454251
2,2.45319,772155535,780580450
3,2.50745,772279933,765863148
4,2.44945,772202049,779343317
5,2.62674,772416637,778325961
6,2.47676,772362665,784160284
7,2.39925,772092917,771093126
8,2.52397,772206971,782401423
9,3.04339,765616819,773652613
10,2.97718,765415545,771259630
11,2.83732,772522699,771648634
12,2.94069,772342890,770061985
13,2.65601,772188823,774639843
14,2.52564,772417931,784854762
15,2.66893,772432223,780888345
16,2.47877,772160206,774085220
17,2.786,765287379,772731410
18,2.56705,772296944,778787876
19,2.64039,772262487,775402070
20,2.53889,772361103,774491565
