Run,Time (s),L1 DCM,L2 DCM
1,1.76497,346085729,341489433
2,1.73386,345540727,342538224
3,1.72317,345231274,341123407
4,1.71979,345188394,341614624
5,1.79006,345416019,341692494
6,1.72795,345387085,343605343
7,1.72245,346040969,343902708
8,1.70973,345826547,342084806
9,1.7046,345232681,342447810
10,1.74466,345530379,340431933
11,1.75026,345546435,337161791
12,1.80403,345824826,338682529
13,1.75432,345331396,339319592
14,1.78137,345421993,333709511
15,1.7708,345157792,338509627
16,1.82148,345635505,330585249
17,1.7987,345739988,339016904
18,1.82057,346020030,334077191
19,1.88089,345816656,334691571
20,2.11744,346991984,330106343
