Run,Time (s),L1 DCM,L2 DCM
1,9.64024,7518127107,763125950
2,10.1052,7616150304,759126364
3,10.0991,7526839261,763080814
4,9.82631,7516234631,762834117
5,10.1279,7523869403,761780459
6,9.77971,7580190850,760299887
7,9.7763,7577234612,761228607
8,9.28224,7579555985,761571616
9,10.7671,7593431053,759631476
10,9.7612,7537921837,761460753
11,9.3269,7590730311,760660634
12,9.10891,7512795173,763326228
13,9.41726,7647680704,757235400
14,9.31453,7586876767,760299345
15,9.26309,7524770455,761796374
16,9.10271,7591908867,759337059
17,9.6754,7523123331,762288723
18,9.2522,7546024116,761788254
19,9.46824,7567167187,760251444
20,8.84956,7536774777,761594525
