Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,600,0.203167,244825040,38531526,512226

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1000,1.15526,1216554994,287825304,13576676

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1400,3.45833,3522993178,931466209,184659973

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,1800,18.0808,9079411714,5989623887,783110090

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,2200,38.4324,17641148131,18369106052,1664401122

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,2600,69.0253,30878486274,50642743859,2990596511

Run,Size,Time (s),L1 DCM,L2 DCM,L3 TCM
1,3000,118.169,50292405656,95155564109,4932898643
