Run,Time (s),L1 DCM,L2 DCM,L3 TCM
1,32.1437,7408318439,6867807535,1083871275
2,30.1146,7414581011,6991000544,821941720
3,30.2173,7414616479,6987278254,1561022855
4,31.0473,7410051470,6965006005,1955514622
5,32.7312,7407749040,6821446375,1370159339
6,30.2319,7414536597,7016725802,890573645
7,31.9724,7410518916,6891057552,1214886057
8,33.1545,7411726026,6938135356,1435571926
9,29.011,7421015657,7113785138,1127906405
10,29.5764,7420545342,7135567940,1183688922

AVG Matrix, Time(s), L1 DCM, L2 DCM, L3 TCM
6144, 31.020030, 7413365897, 6972781050, 1264513676
