Run,Dimension,Size,Time(s)
1,1d,600,30.56600046157837
2,1d,600,30.43903374671936
3,1d,600,30.225199222564697
4,1d,600,29.83036494255066
5,1d,600,30.01194953918457
6,1d,600,29.720328092575073
7,1d,600,29.71379327774048
8,1d,600,29.741222143173218
9,1d,600,29.8134503364563
10,1d,600,30.607351541519165

Dimension,Size,Avg Time
1d,600,30.066869

Run,Dimension,Size,Time(s)
1,1d,1000,139.70723462104797
2,1d,1000,138.80406022071838
3,1d,1000,139.55104112625122
4,1d,1000,139.28934049606323
5,1d,1000,138.73492121696472
6,1d,1000,139.0751883983612
7,1d,1000,138.1480188369751
8,1d,1000,137.96928334236145
9,1d,1000,138.201984167099
10,1d,1000,138.08422946929932

Dimension,Size,Avg Time
1d,1000,138.756530

Run,Dimension,Size,Time(s)
1,1d,1400,379.833701133728
2,1d,1400,381.8284685611725
3,1d,1400,381.03689765930176
4,1d,1400,381.5773808956146
5,1d,1400,382.0479369163513
6,1d,1400,382.4689111709595
7,1d,1400,381.5365061759949
8,1d,1400,381.61479926109314
9,1d,1400,380.68380546569824
10,1d,1400,382.3726165294647

Dimension,Size,Avg Time
1d,1400,381.500102

Run,Dimension,Size,Time(s)
1,1d,1800,813.546148777008
2,1d,1800,814.490639925003
3,1d,1800,814.969384431839
4,1d,1800,810.1862196922302
5,1d,1800,813.8415596485138
6,1d,1800,808.5784029960632
7,1d,1800,810.5772142410278
8,1d,1800,812.2289791107178
9,1d,1800,820.5729496479034
10,1d,1800,811.8331670761108

Dimension,Size,Avg Time
1d,1800,813.082467

Run,Size,Size,Time(s)
1,1d,2200,1480.764778137207
