Run,Dimension,Size,Time(s)
1,2d,600,0.030835390090942383
2,2d,600,0.030999183654785156
3,2d,600,0.030671358108520508
4,2d,600,0.03075575828552246
5,2d,600,0.030710935592651367
6,2d,600,0.030426025390625
7,2d,600,0.030105113983154297
8,2d,600,0.030169963836669922
9,2d,600,0.030475378036499023
10,2d,600,0.030634641647338867

1,2d,1000,0.08528256416320801
2,2d,1000,0.08525800704956055
3,2d,1000,0.0851888656616211
4,2d,1000,0.08528375625610352
5,2d,1000,0.08516550064086914
6,2d,1000,0.08513998985290527
7,2d,1000,0.08600711822509766
8,2d,1000,0.08738970756530762
9,2d,1000,0.08534765243530273
10,2d,1000,0.08580398559570312

1,2d,1400,0.16776680946350098
2,2d,1400,0.16758084297180176
3,2d,1400,0.1690361499786377
4,2d,1400,0.16819310188293457
5,2d,1400,0.18411540985107422
6,2d,1400,0.16735053062438965
7,2d,1400,0.1709580421447754
8,2d,1400,0.16836857795715332
9,2d,1400,0.1681070327758789
10,2d,1400,0.16741085052490234

1,2d,1800,0.2795569896697998
2,2d,1800,0.27457427978515625
3,2d,1800,0.2746570110321045
4,2d,1800,0.2748692035675049
5,2d,1800,0.27405333518981934
6,2d,1800,0.2754545211791992
7,2d,1800,0.27570128440856934
8,2d,1800,0.27567481994628906
9,2d,1800,0.2739064693450928
10,2d,1800,0.3200056552886963

1,2d,2200,0.43709373474121094
2,2d,2200,0.4208791255950928
3,2d,2200,0.42546558380126953
4,2d,2200,0.4271831512451172
5,2d,2200,0.4150826930999756
6,2d,2200,0.40889716148376465
7,2d,2200,0.41684865951538086
8,2d,2200,0.40905284881591797
9,2d,2200,0.4183773994445801
10,2d,2200,0.4109058380126953

1,2d,2600,0.5881175994873047
2,2d,2600,0.5849063396453857
3,2d,2600,0.5791158676147461
4,2d,2600,0.5910792350769043
5,2d,2600,0.5934882164001465
6,2d,2600,0.6026480197906494
7,2d,2600,0.5819222927093506
8,2d,2600,0.6101763248443604
9,2d,2600,0.586672306060791
10,2d,2600,0.5814216136932373

1,2d,3000,0.8745088577270508
2,2d,3000,0.8605062961578369
3,2d,3000,0.7870364189147949
4,2d,3000,0.7690584659576416
5,2d,3000,0.7809264659881592
6,2d,3000,0.7677972316741943
7,2d,3000,0.7808685302734375
8,2d,3000,0.8025181293487549
9,2d,3000,0.7965540885925293
10,2d,3000,0.801414966583252
