Run, Dimension, Time (s),L1 DCM,L2 DCM
1,600,0.191795,244788232,37771773
2,600,0.189123,244728987,37246952
3,600,0.187655,244783924,38071741
4,600,0.188739,244731522,37022637
5,600,0.187837,244729981,36948686
6,600,0.191687,244732592,37755520
7,600,0.187828,244753497,37237042
8,600,0.189712,244724116,38002403
9,600,0.18876,244742814,38692170
10,600,0.189198,244723864,37900409
11,600,0.19178,244728718,40665113
12,600,0.19025,244726891,38819464
13,600,0.196966,244759823,37324836
14,600,0.193305,244730437,38379127
15,600,0.189085,244770390,39108597
16,600,0.191436,244725747,39939102
17,600,0.189323,244722151,39132698
18,600,0.189566,244730526,37446623
19,600,0.189433,244724538,38513975
20,600,0.190202,244731575,37511885

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
600,0.190184,244739516,38174537

Run,Dimension,Time (s),L1 DCM,L2 DCM
1,1000,1.1318,1215389144,223440517
2,1000,1.13104,1215340862,273537167
3,1000,1.3593,1223730303,230386655
4,1000,1.14417,1223735280,249170226
5,1000,1.23465,1215330574,232049838
6,1000,1.11169,1228058804,361729953
7,1000,1.22846,1230266711,248940115
8,1000,1.08187,1216636558,266281532
9,1000,1.13087,1215299893,249425805
10,1000,1.339,1235587200,283145790
11,1000,1.2603,1240310998,287606747
12,1000,1.04565,1229609042,270838870
13,1000,1.09569,1223743750,281236709
14,1000,1.22455,1230269050,244514430
15,1000,1.18424,1228561899,257288458
16,1000,1.28056,1240334645,268977393
17,1000,1.18674,1228532496,271853513
18,1000,1.17227,1228581876,268563101
19,1000,1.06464,1229664341,308917800
20,1000,1.0255,1228024059,264164062

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
1000,1.171650,1226350374,267103434

Run,Dimension,Time (s),L1 DCM,L2 DCM
1,1400,3.14263,3404136853,891837469
2,1400,3.23802,3485665250,939641510
3,1400,3.30094,3534572806,997653298
4,1400,3.19466,3403953868,983875511
5,1400,3.1614,3403846736,868988421
6,1400,3.24171,3509913052,1114512869
7,1400,3.18945,3433704223,974059504
8,1400,3.36868,3529664335,1052043275
9,1400,3.28695,3501778786,1183377001
10,1400,3.3054,3504855606,1060793607
11,1400,3.24726,3501526651,1053661189
12,1400,3.12762,3415457970,992912461
13,1400,3.2997,3499167241,1177920687
14,1400,3.28746,3485841279,1251116339
15,1400,3.60319,3535032128,1322267281
16,1400,3.58924,3499099742,1254832971
17,1400,3.41922,3485869938,1761404878
18,1400,3.40218,3529816520,1160339552
19,1400,,3.45101,3499159175,1533644600
20,1400,,3.47825,3508740822,1448596707

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
1400,3.316749,3483590149,1151173956

Run, Dimension, Time (s),L1 DCM,L2 DCM
1,1800,18.4461,9091916067,6323835892
2,1800,18.9499,9091917123,7376367757
3,1800,19.1297,9090443557,6644763110
4,1800,18.8412,9092929849,7523380850
5,1800,19.2324,9089163223,7690834205
6,1800,18.7195,9084599469,8442365136
7,1800,18.4325,9086911175,7587602736
8,1800,18.4891,9092901881,8475961453
9,1800,18.4103,9089721207,7439538401
10,1800,18.512,9079748038,7926984283
11,1800,18.4242,9090169192,7524014520
12,1800,18.6705,9087075608,7704055838
13,1800,18.6628,9090703967,7717678334
14,1800,18.4341,9076524799,8394428131
15,1800,18.2961,9079740114,7940669880
16,1800,18.1316,9076777256,6890348213
17,1800,18.4794,9089862400,7732063060
18,1800,18.2994,9090057990,8469718947
19,1800,18.2906,9092133474,7244504592
20,1800,18.3623,9079607703,7987011311

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
1800,18.560685,9087145204,7651806332

Run,Dimension,Time(s),L1 DCM,L2 DCM
1,2200,38.796000,17640177364,22677675494
2,2200,38.664800,17632039507,22246119387
3,2200,38.851700,17631716078,22979824705
4,2200,38.795000,17651836205,23779063813
5,2200,38.806200,17643831997,22480921745
6,2200,38.937700,17651126044,23449004352
7,2200,38.467500,17618635446,23635659602
8,2200,39.518900,17649809435,24546557023
9,2200,39.066200,17651610813,23372688206
10,2200,39.153500,17652309870,23418608575

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
2200,38.905750,17642309275,23258612290

Run,Dimension,Time(s),L1 DCM,L2 DCM
1,2600,68.920600,30900591364,51037078387
2,2600,69.225500,30880379946,51222666080
3,2600,69.387900,30885210397,51264248916
4,2600,68.719800,30874513098,51568722134
5,2600,68.316700,30907008031,51651809229
6,2600,69.797700,30885414238,51068677481
7,2600,68.361400,30895655295,50790634728
8,2600,69.908800,30905886674,51441036675
9,2600,69.981900,30901042285,51866172955
10,2600,69.014300,30874791761,51701309136

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
2600,69.163460,30891049308,51361235572

Run,Dimension,Time(s),L1 DCM,L2 DCM
1,3000,113.574000,50304396098,95869225679
2,3000,113.773000,50304684372,96750587149
3,3000,114.309000,50292400163,95128712970
4,3000,113.810000,50304350515,95999925095
5,3000,116.008000,50294676322,94810261308
6,3000,113.594000,50303566669,96745698766
7,3000,114.584000,50293085044,94116004297
8,3000,116.240000,50293515799,95922026324
9,3000,113.697000,50316200946,96807499385
10,3000,117.121000,50303632566,96260395281

Dimension,Avg Time,Avg L1 DCM,Avg L2 DCM
3000,114.671000,50301050849,95841033625



