Run,Time (s),L1 DCM,L2 DCM
1,3.14263,3404136853,891837469
2,3.23802,3485665250,939641510
3,3.30094,3534572806,997653298
4,3.19466,3403953868,983875511
5,3.1614,3403846736,868988421
6,3.24171,3509913052,1114512869
7,3.18945,3433704223,974059504
8,3.36868,3529664335,1052043275
9,3.28695,3501778786,1183377001
10,3.3054,3504855606,1060793607
11,3.24726,3501526651,1053661189
12,3.12762,3415457970,992912461
13,3.2997,3499167241,1177920687
14,3.28746,3485841279,1251116339
15,3.60319,3535032128,1322267281
16,3.58924,3499099742,1254832971
17,3.41922,3485869938,1761404878
18,3.40218,3529816520,1160339552
19,3.45101,3499159175,1533644600
20,3.47825,3508740822,1448596707
