Run,Dimension,Size,Time(s)
1,1d,600,32.419100761413574
2,1d,600,32.179299116134644
3,1d,600,32.01060748100281
4,1d,600,31.949297666549683
5,1d,600,32.12120985984802
6,1d,600,32.01353120803833
7,1d,600,31.858521461486816
8,1d,600,32.084033250808716
9,1d,600,32.36945939064026
10,1d,600,31.890639305114746

1,1d,1000,157.40417337417603
2,1d,1000,158.17457365989685
3,1d,1000,159.31143999099731
4,1d,1000,156.31057810783386
5,1d,1000,159.6125464439392
6,1d,1000,156.59324884414673
7,1d,1000,156.0768859386444
8,1d,1000,156.29986262321472
9,1d,1000,158.05107235908508
10,1d,1000,158.79374408721924

1,1d,1400,432.57413363456726
2,1d,1400,433.69875383377075
3,1d,1400,443.6270434856415
4,1d,1400,432.271036863327
5,1d,1400,435.7393865585327
6,1d,1400,433.46911549568176
7,1d,1400,436.1678366661072
8,1d,1400,433.0287756919861
9,1d,1400,436.52660274505615
10,1d,1400,433.3450164794922

1,1d,1800,926.266184091568
2,1d,1800,940.5103747844696
3,1d,1800,943.2613835334778
4,1d,1800,935.1070296764374
5,1d,1800,941.3409333229065

1,1d,2200,1739.3703756332397
